kecamatan_id;puskesmas_id;npsn;sekolah;jenjang;status;alamat_jalan;lintang;bujur
2;NULL;10261589;SMP SWASTA IT AL IHYA TG. GADING;SMP;S;Jl. Sawo No. 01 Tanjung Gading;3.3092;99.3436
2;NULL;10204026;SMP SWASTA ADVENT SIMODONG;SMP;S;Dusun IV;3.3422;99.3553
2;NULL;10204152;SMP NEGERI 1 SEI SUKA;SMP;N;Jln. Beringin Kota Baru Tanjung Gading;3.319;99.3415
3;NULL;10204116;SMP NEGERI 3 AIR PUTIH;SMP;N;Jl. Datuk Umar Palanki;3.2662;99.3621
3;NULL;10261043;SMKN 1 AIR PUTIH;SMK;N;SMK DUSUN III;3.2636;99.3893
3;NULL;10260906;SMP NEGERI 1 AIR PUTIH;SMP;N;Indrapura;3.2971;99.3631
3;NULL;10263517;SMKS YAPIM INDRAPURA;SMK;S;JLN. LINTAS MEDAN - KISARAN KM. 108;3.2636;99.3767
3;NULL;10204030;SMKS TELADAN INDRAPURA;SMK;S;DATUK UMAR PELANGKI NO.08 TANAH MERAH INDRAPURA;3.2734;99.3637
3;NULL;10260908;SMP SWASTA SYUHADA;SMP;S;Jl. Ganesha No. 20;3.3047;99.4025
3;NULL;10263516;SMA SWASTA SWASTA YAPIM INDRAPURA;SMA;S;JLN. LINTAS MEDAN - KISARAN KM. 108;3.2645;99.3771
3;NULL;10261249;SMP NEGERI 4 AIR PUTIH;SMP;N;Jl. Pendidikan Dsn I Desa Tanjung Harapan;3.2391;99.3625
3;NULL;10204248;SMA SWASTA TELADAN INDRAPURA;SMA;S;Jalan Datuk Umar Pelangki No. 8 Tanah Merah;3.2734;99.3637
3;NULL;10204036;SMP SWASTA METHODIST Air Putih;SMP;S;Jl. Gereja Tg. Kubah Indrapura;3.3042;99.4379
3;NULL;10204039;SMP SWASTA KRISTEN AIR PUTIH;SMP;S;Tanjung Kubah;3.288;99.3756
3;NULL;10204095;SMP NEGERI 2 AIR PUTIH;SMP;N;Pematang Panjang;3.2792;99.3548
3;NULL;69900184;SMP SWASTA ISLAM YAPI SIPARE-PARE;SMP;S;Jln. Medan - Kisaran Km. 101;;
3;NULL;10262026;SMP NEGERI 5 Air Putih;SMP;N;Jl. Desa Suka Ramai Kec. Air Putih Kode Pos 21256;3.3019;99.4489
3;NULL;69883518;SMK SWASTA AL WASHLIYAH 17 AIR PUTIH;SMK;S;Jl. Syarifuddin No. 10;3.275577;99.388638
3;NULL;10260915;SMA NEGERI 1 AIR PUTIH;SMA;N;JL. SYARIFIDDIN NO. 50 INDRAPURA;3.2877;99.3749
3;NULL;10260907;SMP SWASTA AL WASHLIYAH 6 AIR PUTIH;SMP;S;Jl. Syarifuddin No. 10 Tanjung Kubah - Indrapura;3.2801;99.3855
3;NULL;10204082;SMKS BUDHI DARMA INDRAPURA;SMK;S;TANAH MERAH/DATUK UMAR PALANGKI DUSUN 2;3.2735;99.3703
3;NULL;10204069;SMKS T AMIR HAMZAH INDRAPURA;SMK;S;SYARIFUDDIN NO. 39 TANJUNG KUBAH-INDRAPURA;3.2871;99.3744
3;NULL;10204230;SMA SWASTA DAERAH AIR PUTIH;SMA;S;JL.SYARIFUDDIN;3.286;99.3744
4;NULL;10260918;SMA SWASTA YPK KEDAISIANAM;SMA;S;JL. H. MHD. ZEN JAWI;3.2466;99.522
4;NULL;69883493;SMP SWASTA Dr. CIPTO MANGUN KUSUMO MANDIRI;SMP;S;Dsn. VII;3.234851;99.474028
4;NULL;10260140;SMP SWASTA BINA BANGSA;SMP;S;Jalan Lintas Sumatera Km. 111;3.2684;99.5056
4;NULL;69949666;SMK SWASTA MIFTAHUL JANNAH;SMK;S;Jln. Syah H. Abdul Wahab No. 63;3.2774632;99.4935694
4;NULL;10204103;SMP NEGERI 3 LIMA PULUH;SMP;N;JLN. TANJUNG TIRAM DESA BULAN - BULAN;3.2639;99.4717
4;NULL;10260935;SMP SWASTA AL WASHLIYAH 40 TITI PUTIH;SMP;S;Jl. H. Husin Usman No.8 Dusun II Desa Pasir Permit;3.2055;99.4527
4;NULL;69849000;SMP NEGERI 6 LIMA PULUH;SMP;N;DESA CAHAYA PARDOMUAN;3.184497;99.503649
4;NULL;10204149;SMP NEGERI 1 LIMA PULUH;SMP;N;Jl. Besar Lima Puluh No. 07 Lima Puluh;3.1734;99.4158
